1155225,3003128516,"Millstone Medical Outsourcing, LLC",10/22/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1155060,3008533882,Tasty Pastry Bakery,10/21/2021,Foods,21 CFR 117.35(d),Sanitation of food contact surfaces - frequency,You did not clean and sanitize your utensils or equipment as frequently as necessary to protect against allergen cross-contact and contamination of food.
1155304,1219145,"Associates of Cape Cod, Inc.",10/21/2021,Devices,21 CFR 820.100(b),Documentation,Corrective and preventive action activities and/or results have not been adequately documented.
1154941,3014447708,"Blink Device Company, LLC",10/15/2021,Devices,21 CFR 820.30(f),Design verification - Lack of or inadequate procedures,Procedures for design verification have not been adequately established.
1154941,3014447708,"Blink Device Company, LLC",10/15/2021,Devices,21 CFR 820.40,Procedures not adequately established or maintained,Document control procedures have not been adequately established.
1154941,3014447708,"Blink Device Company, LLC",10/15/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1154941,3014447708,"Blink Device Company, LLC",10/15/2021,Devices,21 CFR 820.198(a),Lack of or inadequate complaint procedures,"Procedures for receiving, reviewing, and evaluating complaints by a formally designated unit have not been adequately established."
1154620,3011875601,American fortune food inc,10/13/2021,Foods,21 CFR 123.12(a)(2),Importer verification,"You do not have or have not implemented written verification procedures, product specifications and an affirmative step for ensuring that fish and fishery products you import are processed in compliance with the Seafood HACCP regulation."
1154743,3010353867,"Applied Medical Coatings, LLC",10/13/2021,Devices,21 CFR 820.25(b),Training records,Personnel training is not documented.
1154743,3010353867,"Applied Medical Coatings, LLC",10/13/2021,Devices,21 CFR 820.70(a),"Process control procedures, Lack of or inadequate procedures",Process control procedures that describe any process controls necessary to ensure conformance to specifications have not been adequately established.
1154743,3010353867,"Applied Medical Coatings, LLC",10/13/2021,Devices,21 CFR 820.72(b),Calibration procedures - content,Calibration procedures do not include specific directions and limits for accuracy and precision.
1154743,3010353867,"Applied Medical Coatings, LLC",10/13/2021,Devices,21 CFR 820.75(a),Lack of or inadequate process validation,A process whose results cannot be fully verified by subsequent inspection and test has not been adequately validated according to established procedures.
1154743,3010353867,"Applied Medical Coatings, LLC",10/13/2021,Devices,21 CFR 820.90(a),"Nonconforming product,  Lack of or inadequate procedures",Procedures have not been adequately established to control product that does not conform to specified requirements.
1154743,3010353867,"Applied Medical Coatings, LLC",10/13/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1154317,3015843386,Nazeera Inc.,10/12/2021,Veterinary Medicine,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1153994,1000123308,Eyegaze Inc.,10/08/2021,Devices,21 CFR 820.22,Quality Audit/Reaudit - conducted,Quality audits have not been performed.
1153994,1000123308,Eyegaze Inc.,10/08/2021,Devices,21 CFR 820.25(b),Training - Lack of or inadequate procedures,Procedures for training and identifying training needs have not been established.
1153994,1000123308,Eyegaze Inc.,10/08/2021,Devices,21 CFR 820.40,Procedures not adequately established or maintained,Document control procedures have not been adequately established.
1153994,1000123308,Eyegaze Inc.,10/08/2021,Devices,21 CFR 820.50,"Purchasing controls, Lack of or inadequate procedures",Procedures to ensure that all purchased or otherwise received product and services conform to specified requirements have not been adequately established.
1153994,1000123308,Eyegaze Inc.,10/08/2021,Devices,21 CFR 820.198(a),Lack of or inadequate complaint procedures,"Procedures for receiving, reviewing, and evaluating complaints by a formally designated unit have not been adequately established."
1154253,2024930,Cacique Inc.,10/08/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls",You did not conduct operations under conditions and controls necessary to minimize the potential for contamination of food.
1154752,3006283319,"Needletech Products, Inc",10/08/2021,Devices,21 CFR 820.70(a),"Process control procedures, Lack of or inadequate procedures",Process control procedures that describe any process controls necessary to ensure conformance to specifications have not been adequately established.
1154752,3006283319,"Needletech Products, Inc",10/08/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1153879,1218747,"Amaral's Bakery, Inc.",10/07/2021,Foods,21 CFR 117.126(a)(1),Food Safety Plan,You did not have a written food safety plan.
1153899,1420617,"Bernard Food Industries, Inc. dba Stevens Packaging",10/07/2021,Foods,21 CFR 117.10,Personnel,You did not take a reasonable measure and precaution related to personnel practices.
1153899,1420617,"Bernard Food Industries, Inc. dba Stevens Packaging",10/07/2021,Foods,21 CFR 117.35(b)(2),"Toxic Chemicals - identified, held, stored","You did not identify, hold and store a toxic chemical in a manner that protects against contamination."
1153899,1420617,"Bernard Food Industries, Inc. dba Stevens Packaging",10/07/2021,Foods,21 CFR 117.35(e),Sanitation of non-food contact surfaces - frequency,You did not clean your non-food contact surface in a manner and as frequently as necessary to protect against allergen cross-contact and contamination.
1153899,1420617,"Bernard Food Industries, Inc. dba Stevens Packaging",10/07/2021,Foods,21 CFR 117.80(a),Plant Operations - precautions,"You did not conduct operations in accordance with adequate sanitation principles, have plant sanitation under the supervision of a competent individual and take adequate precautions to ensure that production procedures did not contribute to allergen cross-contact and to contamination."
1153899,1420617,"Bernard Food Industries, Inc. dba Stevens Packaging",10/07/2021,Foods,21 CFR 117.80(c)(8),Process Control - Foreign Objects,You did not take an adequate measure to protect against inclusion of metal or extraneous material in food.
1153915,3013167150,AL'ARD PRODUCTS INC,10/07/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1153965,3004288861,"Kentwood Co-op, Inc.",10/07/2021,Veterinary Medicine,21 CFR 507.25(b)(2),Contamination with Mycotoxins/Natural Toxins,You did not evaluate the raw materials and ingredients susceptible to contamination with mycotoxins or other natural toxins in a manner that does not result in animal food that can cause injury or illness to animals or humans.
1153897,3006715919,"Flowers Baking Co. of  Modesto, LLC",10/06/2021,Foods,21 CFR 117.145(a),Process Controls Monitoring Procedures: Establish Implement,You did not establish and implement adequate written procedures for monitoring process controls.
1155247,3001479409,BALK Juice Processing LLC,10/06/2021,Foods,21 CFR 120.8(b)(2),HACCP plan - critical control points not listed,Your HACCP plan does not list the critical control points for each of the identified food hazards.
1155247,3001479409,BALK Juice Processing LLC,10/06/2021,Foods,21 CFR 120.8(b)(3),HACCP plan - critical limits not listed or not adequate,"Your HACCP plan lists a critical limit that does not prevent, eliminate, or reduce to an acceptable level the occurrence of an identified food hazard."
1153722,3017167850,SIMPLY NATURAL HARVEST LLC,10/05/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1153583,3013660934,The Enrico Biscotti Company,10/04/2021,Foods,21 CFR 117.10,Personnel,You did not take a reasonable measure and precaution related to personnel practices.
1153583,3013660934,The Enrico Biscotti Company,10/04/2021,Foods,21 CFR 117.35(c),Pest Control,You did not exclude pests from your food plant to protect against contamination of food.
1154325,2523891,"Next Medical Products Company, LLC",10/04/2021,Devices,21 CFR 803.17(a)(3),Lack of  System for Timely Submission of Reports,The written MDR procedure does not include an internal system which provides for timely transmission of complete medical device reports to FDA.
1154325,2523891,"Next Medical Products Company, LLC",10/04/2021,Devices,21 CFR 820.22,Quality audits - auditor independence,Individuals who conduct quality audits have direct responsibility for the matters being audited.
1154325,2523891,"Next Medical Products Company, LLC",10/04/2021,Devices,21 CFR 820.50(a)(1),"Evaluation and Selection, Suppliers, Contractors, etc.",Potential suppliers were not evaluated and selected based on their ability to meet specified requirements.
1154325,2523891,"Next Medical Products Company, LLC",10/04/2021,Devices,21 CFR 820.70(b),"Production and Process Change Procedures, lack of or Inad.","Procedures for changes to a specification, method and process have not been established."
1154325,2523891,"Next Medical Products Company, LLC",10/04/2021,Devices,21 CFR 820.72(b),Remedial action,"When test/measurement equipment was found to not meet accuracy and precision limits, inadequate action was taken to evaluate whether there was any adverse effect on the device's quality."
1154325,2523891,"Next Medical Products Company, LLC",10/04/2021,Devices,21 CFR 820.75(a),Lack of or inadequate process validation,A process whose results cannot be fully verified by subsequent inspection and test has not been adequately validated according to established procedures.
1154325,2523891,"Next Medical Products Company, LLC",10/04/2021,Devices,21 CFR 820.80(d),Lack of or inadequate final acceptance procedures,Procedures for finished device acceptance have not been adequately established.
1154325,2523891,"Next Medical Products Company, LLC",10/04/2021,Devices,21 CFR 820.181,DMR - not or inadequately maintained,A device master record has not been adequately maintained.
1154325,2523891,"Next Medical Products Company, LLC",10/04/2021,Devices,21 CFR 820.250(a),Statistical techniques - Lack of or inadequate procedures,"Procedures for identifying valid statistical techniques required for establishing, controlling, and verifying the acceptability of process capability and product characteristics have not been adequately established."
1153376,1000071312,"Landis Foods, Inc.",10/01/2021,Foods,21 CFR 108.25(c)(2),Process filing,You did not provide FDA with information on the scheduled process for a new acidified food before packing the food.
1153376,1000071312,"Landis Foods, Inc.",10/01/2021,Foods,21 CFR 114.89,Process deviation,"When a process operation deviated from the scheduled process or the equilibrium pH of the finished product was higher than 4.6, you did not fully reprocess the food by a process established by a competent processing authority as adequate to ensure a safe product; or thermally process the food as required for low-acid food; or set aside the food for further evaluation as to any potential public health significance."
1153376,1000071312,"Landis Foods, Inc.",10/01/2021,Foods,21 CFR 114.100(b),Maintenance of processing and production records,You did not maintain processing records showing adherence to the scheduled process.
1153603,3011319878,Gracie's Kitchens Inc.,10/01/2021,Foods,21 CFR 117.4,Training of employees and records,You did not have records documenting training of qualified individuals.
1153603,3011319878,Gracie's Kitchens Inc.,10/01/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Maintenance,You did not maintain your plant in a clean and sanitary condition and keep your plant in repair.
1153603,3011319878,Gracie's Kitchens Inc.,10/01/2021,Foods,21 CFR 117.130(a)(1),Hazard Analysis - Identification of Hazard,Your hazard analysis did not identify a known or reasonably foreseeable hazard that required a preventive control.
1153725,1231873,"Winter Harbor Cooperative, Inc.",10/01/2021,Foods,21 CFR 123.6(b),HACCP plan implementation,"You did not implement the monitoring, recordkeeping and verification procedures listed in your HACCP plan."
1153725,1231873,"Winter Harbor Cooperative, Inc.",10/01/2021,Foods,21 CFR 123.6(b),No HACCP plan,You do not have a written HACCP plan that outlines controls for a food safety hazard that is reasonably likely to occur.
1153725,1231873,"Winter Harbor Cooperative, Inc.",10/01/2021,Foods,21 CFR 123.6(c)(1),Food safety hazards,Your HACCP plan does not list the food safety hazards that are reasonably likely to occur.
1153725,1231873,"Winter Harbor Cooperative, Inc.",10/01/2021,Foods,21 CFR 123.6(d),Signed and dated,Your HACCP plan was not signed and dated upon initial acceptance and at least annually.
1153725,1231873,"Winter Harbor Cooperative, Inc.",10/01/2021,Foods,21 CFR 123.11(b),Sanitation monitoring,"You are not monitoring the sanitation conditions and practices with sufficient frequency to assure conformance with Current Good Manufacturing Practices including safety of water that comes into contact with food or food contact surfaces, including water used to manufacture ice, condition and cleanliness of food contact surfaces, prevention of cross-contamination from insanitary objects and maintenance of hand washing, hand sanitizing, and toilet facilities."
1151754,3009161974,Singha North America,09/30/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1151754,3009161974,Singha North America,09/30/2021,Foods,21 CFR 1.504(d),Document review entity's hazard analysis,You did not document your review and assessment of a hazard analysis conducted by another entity and that a hazard analysis conducted by another entity was conducted by a qualified individual.
1151754,3009161974,Singha North America,09/30/2021,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document that you conducted an evaluation or reviewed and assessed an evaluation conducted by another entity to determine a foreign supplier's performance and the risk posed by a food.
1151754,3009161974,Singha North America,09/30/2021,Foods,21 CFR 1.506(a)(1),Approved supplier procedures - importer established,You did not establish written procedures to ensure that you import foods only from approved foreign suppliers.
1153210,1000179910,Loumidis Foods Inc.,09/30/2021,Foods,21 CFR 123.11(c),Sanitation Records,"You are not maintaining sanitation control records that document monitoring for maintenance of hand washing, hand sanitizing, and toilet facilities, proper labeling, storage and use of toxic chemicals, control of employee health conditions and exclusion of pests."
1153210,1000179910,Loumidis Foods Inc.,09/30/2021,Foods,21 CFR 123.12(a)(2),Importer verification,"You do not have or have not implemented written verification procedures, product specifications and an affirmative step for ensuring that fish and fishery products you import are processed in compliance with the Seafood HACCP regulation."
1153231,3007739258,Dulceria Geraldo,09/30/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Maintenance,You did not maintain your plant in a clean and sanitary condition and keep your plant in repair.
1153246,3006897042,"Xochitl Gourmet Foods, LLC",09/30/2021,Foods,21 CFR 117.35(c),Pest Control,You did not exclude pests from your food plant to protect against contamination of food.
1153251,1220253,"SDI Diagnostics, Inc.",09/30/2021,Devices,21 CFR 806.20(b)(4),Justification for not reporting,"A  justification for not reporting the correction or removal action to FDA that included conclusions, follow-ups and reviews by a designated person was not included in the record."
1153251,1220253,"SDI Diagnostics, Inc.",09/30/2021,Devices,21 CFR 820.50,"Purchasing controls, Lack of or inadequate procedures",Procedures to ensure that all purchased or otherwise received product and services conform to specified requirements have not been established.
1153251,1220253,"SDI Diagnostics, Inc.",09/30/2021,Devices,21 CFR 820.72(a),"Calibration, Inspection, etc. Procedures Lack of or Inadequ","Procedures to ensure equipment is routinely calibrated, inspected and maintained have not been adequately established."
1153251,1220253,"SDI Diagnostics, Inc.",09/30/2021,Devices,21 CFR 820.80(a),Lack of or inadequate procedures - Acceptance activities,Procedures for acceptance activities have not been adequately established.
1153251,1220253,"SDI Diagnostics, Inc.",09/30/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1153251,1220253,"SDI Diagnostics, Inc.",09/30/2021,Devices,21 CFR 820.198(a),Lack of or inadequate complaint procedures,"Procedures for receiving, reviewing, and evaluating complaints by a formally designated unit have not been adequately established."
1153330,3015355332,BAKE USA Inc.,09/30/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
